3.39327E+1	3.36575E+1	-3.72219E+0																	
3.35649E+1	3.35905E+1	-3.60642E+0																	
3.32031E+1	3.35082E+1	-3.48835E+0																	
3.28567E+1	3.33989E+1	-3.36594E+0																	
3.25264E+1	3.32691E+1	-3.23965E+0																	
3.21997E+1	3.31395E+1	-3.11098E+0																	
3.18671E+1	3.30221E+1	-2.98218E+0																	
3.15315E+1	3.29108E+1	-2.85540E+0																	
3.11986E+1	3.27942E+1	-2.73157E+0																	
3.08718E+1	3.26638E+1	-2.61091E+0																	
3.05500E+1	3.25181E+1	-2.49326E+0																	
3.02305E+1	3.23622E+1	-2.37844E+0																	
2.99104E+1	3.22024E+1	-2.26593E+0																	
2.95888E+1	3.20434E+1	-2.15477E+0																	
2.92626E+1	3.18905E+1	-2.04400E+0																	
2.89438E+1	3.17473E+1	-1.93561E+0																	
2.86330E+1	3.16228E+1	-1.80957E+0																	
2.83455E+1	3.15089E+1	-1.68867E+0																	
2.80807E+1	3.14072E+1	-1.54294E+0																	
2.78072E+1	3.13275E+1	-1.40728E+0																	
																			
3.39340E+1	3.36522E+1	-3.71590E+0																	
3.35584E+1	3.36108E+1	-3.60046E+0																	
3.31872E+1	3.35578E+1	-3.48327E+0																	
3.28280E+1	3.34850E+1	-3.36292E+0																	
3.24817E+1	3.33993E+1	-3.24031E+0																	
3.21383E+1	3.33179E+1	-3.11713E+0																	
3.17898E+1	3.32496E+1	-2.99509E+0																	
3.14390E+1	3.31879E+1	-2.87543E+0																	
3.10912E+1	3.31223E+1	-2.75822E+0																	
3.07493E+1	3.30437E+1	-2.64313E+0																	
3.04119E+1	3.29486E+1	-2.52986E+0																	
3.00768E+1	3.28399E+1	-2.41832E+0																	
2.97420E+1	3.27233E+1	-2.30832E+0																	
2.94074E+1	3.26032E+1	-2.19919E+0																	
2.90709E+1	3.24846E+1	-2.08999E+0																	
2.87427E+1	3.23706E+1	-1.98239E+0																	
2.84230E+1	3.22688E+1	-1.85922E+0																	
2.81321E+1	3.21690E+1	-1.73842E+0																	
2.78689E+1	3.20679E+1	-1.59405E+0																	
2.75958E+1	3.19863E+1	-1.46043E+0																	
																			
3.39349E+1	3.36473E+1	-3.70814E+0																	
3.35553E+1	3.36278E+1	-3.59243E+0																	
3.31786E+1	3.36014E+1	-3.47581E+0																	
3.28105E+1	3.35643E+1	-3.35771E+0																	
3.24521E+1	3.35242E+1	-3.23950E+0																	
3.20966E+1	3.34934E+1	-3.12295E+0																	
3.17382E+1	3.34760E+1	-3.00904E+0																	
3.13787E+1	3.34659E+1	-2.89787E+0																	
3.10220E+1	3.34538E+1	-2.78850E+0																	
3.06701E+1	3.34311E+1	-2.67996E+0																	
3.03215E+1	3.33917E+1	-2.57178E+0																	
2.99738E+1	3.33360E+1	-2.46406E+0																	
2.96261E+1	3.32687E+1	-2.35704E+0																	
2.92789E+1	3.31947E+1	-2.25058E+0																	
2.89311E+1	3.31188E+1	-2.14391E+0																	
2.85907E+1	3.30443E+1	-2.03832E+0																	
2.82580E+1	3.29774E+1	-1.92144E+0																	
2.79591E+1	3.29054E+1	-1.80383E+0																	
2.76928E+1	3.28184E+1	-1.66632E+0																	
2.74163E+1	3.27480E+1	-1.53980E+0																	
																			
3.39355E+1	3.36428E+1	-3.69984E+0																	
3.35547E+1	3.36419E+1	-3.58363E+0																	
3.31753E+1	3.36389E+1	-3.46749E+0																	
3.28013E+1	3.36355E+1	-3.35174E+0																	
3.24346E+1	3.36399E+1	-3.23824E+0																	
3.20717E+1	3.36589E+1	-3.12882E+0																	
3.17085E+1	3.36919E+1	-3.02370E+0																	
3.13456E+1	3.37326E+1	-2.92177E+0																	
3.09853E+1	3.37739E+1	-2.82105E+0																	
3.06285E+1	3.38076E+1	-2.71988E+0																	
3.02729E+1	3.38253E+1	-2.61759E+0																	
2.99164E+1	3.38248E+1	-2.51445E+0																	
