3.58352E+1	3.32623E+1	-3.69300E+0																	
3.62197E+1	3.32873E+1	-3.76538E+0																	
3.66033E+1	3.32837E+1	-3.83977E+0																	
3.69781E+1	3.32267E+1	-3.91689E+0																	
3.73395E+1	3.31231E+1	-3.99468E+0																	
3.76979E+1	3.30084E+1	-4.07068E+0																	
3.80598E+1	3.29045E+1	-4.14276E+0																	
3.84231E+1	3.28079E+1	-4.20871E+0																	
3.87835E+1	3.27047E+1	-4.26597E+0																	
3.91384E+1	3.25837E+1	-4.31175E+0																	
3.94870E+1	3.24389E+1	-4.34391E+0																	
3.98283E+1	3.22692E+1	-4.36089E+0																	
4.01613E+1	3.20790E+1	-4.36210E+0																	
4.04880E+1	3.18799E+1	-4.34887E+0																	
4.08117E+1	3.16816E+1	-4.32403E+0																	
4.11356E+1	3.14894E+1	-4.29064E+0																	
4.14626E+1	3.13068E+1	-4.25124E+0																	
4.17931E+1	3.11362E+1	-4.20670E+0																	
4.21227E+1	3.09796E+1	-4.16088E+0																	
4.24434E+1	3.08326E+1	-4.11550E+0																	
																			
3.58348E+1	3.32586E+1	-3.68738E+0																	
3.62178E+1	3.33005E+1	-3.77451E+0																	
3.66010E+1	3.33172E+1	-3.86435E+0																	
3.69783E+1	3.32863E+1	-3.95843E+0																	
3.73450E+1	3.32135E+1	-4.05511E+0																	
3.77089E+1	3.31312E+1	-4.15159E+0																	
3.80753E+1	3.30601E+1	-4.24480E+0																	
3.84430E+1	3.29977E+1	-4.33145E+0																	
3.88085E+1	3.29312E+1	-4.40809E+0																	
3.91699E+1	3.28488E+1	-4.47127E+0																	
3.95268E+1	3.27426E+1	-4.51844E+0																	
3.98781E+1	3.26087E+1	-4.54800E+0																	
4.02214E+1	3.24473E+1	-4.55965E+0																	
4.05577E+1	3.22695E+1	-4.55414E+0																	
4.08898E+1	3.20866E+1	-4.53445E+0																	
4.12207E+1	3.19048E+1	-4.50442E+0																	
4.15523E+1	3.17289E+1	-4.46591E+0																	
4.18840E+1	3.15633E+1	-4.42279E+0																	
4.22097E+1	3.14092E+1	-4.37707E+0																	
4.25191E+1	3.12643E+1	-4.32947E+0																	
																			
3.58348E+1	3.32551E+1	-3.68157E+0																	
3.62150E+1	3.33110E+1	-3.78107E+0																	
3.65959E+1	3.33450E+1	-3.88395E+0																	
3.69734E+1	3.33381E+1	-3.99257E+0																	
3.73427E+1	3.32960E+1	-4.10586E+0																	
3.77089E+1	3.32466E+1	-4.22078E+0																	
3.80763E+1	3.32086E+1	-4.33331E+0																	
3.84443E+1	3.31806E+1	-4.43906E+0																	
3.88110E+1	3.31517E+1	-4.53370E+0																	
3.91756E+1	3.31100E+1	-4.61322E+0																	
3.95384E+1	3.30460E+1	-4.67480E+0																	
3.98981E+1	3.29523E+1	-4.71701E+0																	
4.02514E+1	3.28247E+1	-4.74015E+0																	
4.05979E+1	3.26732E+1	-4.74443E+0																	
4.09402E+1	3.25116E+1	-4.73299E+0																	
4.12806E+1	3.23475E+1	-4.71043E+0																	
4.16192E+1	3.21872E+1	-4.67740E+0																	
4.19537E+1	3.20367E+1	-4.64104E+0																	
4.22757E+1	3.18957E+1	-4.60089E+0																	
4.25722E+1	3.17634E+1	-4.55687E+0																	
																			
3.58351E+1	3.32520E+1	-3.67604E+0																	
3.62117E+1	3.33189E+1	-3.78568E+0																	
3.65894E+1	3.33674E+1	-3.89930E+0																	
3.69653E+1	3.33819E+1	-4.02002E+0																	
3.73350E+1	3.33686E+1	-4.14747E+0																	
3.77011E+1	3.33512E+1	-4.27843E+0																	
3.80666E+1	3.33454E+1	-4.40796E+0																	
3.84320E+1	3.33510E+1	-4.53064E+0																	
3.87968E+1	3.33589E+1	-4.64130E+0																	
3.91620E+1	3.33576E+1	-4.73541E+0																	
